,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
75,75,75,2016-04-01,GOLDENTOBC,37.75,43.0,37.09999847412109,41.70000076293945,128228,52.801463533069324
76,76,76,2016-05-01,GOLDENTOBC,41.0,52.0,37.79999923706055,40.09999847412109,683710,51.3769292973817
77,77,77,2016-06-01,GOLDENTOBC,40.34999847412109,43.5,36.59999847412109,42.09999847412109,178281,53.080932391150526
78,78,78,2016-07-01,GOLDENTOBC,42.95000076293945,50.70000076293945,41.04999923706055,45.04999923706055,790743,55.55508720438981
79,79,79,2016-08-01,GOLDENTOBC,45.25,48.0,40.54999923706055,43.59999847412109,225048,54.04648162125899
80,80,80,2016-09-01,GOLDENTOBC,43.59999847412109,49.900001525878906,39.04999923706055,40.59999847412109,263665,50.96297853937436
81,81,81,2016-10-01,GOLDENTOBC,41.400001525878906,64.6500015258789,40.70000076293945,64.6500015258789,1804798,67.14560472517857
82,82,82,2016-11-01,GOLDENTOBC,66.0,76.0,56.0,61.70000076293945,2076237,64.34079739369774
83,83,83,2016-12-01,GOLDENTOBC,60.29999923706055,70.4000015258789,55.79999923706055,62.45000076293945,1430232,64.74401741284487
84,84,84,2017-01-01,GOLDENTOBC,63.400001525878906,71.9000015258789,60.0,61.09999847412109,1454235,63.35530796688148
85,85,85,2017-02-01,GOLDENTOBC,61.5,73.0,60.25,68.19999694824219,1061249,67.32482851862164
86,86,86,2017-03-01,GOLDENTOBC,68.05000305175781,85.80000305175781,64.55000305175781,74.9000015258789,1573776,70.56516500919915
87,87,87,2017-04-01,GOLDENTOBC,77.94999694824219,78.0,67.5999984741211,68.75,97286,64.26526909777436
88,88,88,2017-05-01,GOLDENTOBC,68.75,71.5,61.0,65.19999694824219,59340,60.88617791440316
89,89,89,2017-06-01,GOLDENTOBC,62.150001525878906,69.5,57.900001525878906,58.900001525878906,26695,55.32646118941658
90,90,90,2017-07-01,GOLDENTOBC,59.0,59.09999847412109,51.54999923706055,53.20000076293945,17486,50.806137885245676
91,91,91,2017-08-01,GOLDENTOBC,53.20000076293945,57.75,53.0,56.0,19939,52.84429891613167
92,92,92,2017-09-01,GOLDENTOBC,56.0,56.0,50.0,53.59999847412109,13097,50.89775377838846
93,93,93,2017-10-01,GOLDENTOBC,53.59999847412109,53.650001525878906,50.0,51.5,70093,49.19034180206225
94,94,94,2017-11-01,GOLDENTOBC,51.75,56.79999923706055,48.0,48.09999847412109,16392,46.472166615530185
95,95,95,2017-12-01,GOLDENTOBC,48.04999923706055,52.95000076293945,46.0,48.0,8219,46.39097147924541
96,96,96,2018-01-01,GOLDENTOBC,50.400001525878906,61.150001525878906,50.400001525878906,61.150001525878906,8834,57.02445575789773
97,97,97,2018-02-01,GOLDENTOBC,61.150001525878906,67.4000015258789,58.150001525878906,63.09999847412109,17036,58.34395310542034
98,98,98,2018-03-01,GOLDENTOBC,63.09999847412109,64.5,54.84999847412109,55.09999847412109,16410,51.374828070301504
99,99,99,2018-04-01,GOLDENTOBC,57.84999847412109,68.75,57.84999847412109,66.0999984741211,17725,58.68285430939818
100,100,100,2018-05-01,GOLDENTOBC,66.0999984741211,66.0999984741211,57.79999923706055,57.79999923706055,3866,52.29612501247851
101,101,101,2018-06-01,GOLDENTOBC,54.95000076293945,54.95000076293945,32.0,32.0,17074,38.33102533481422
102,102,102,2018-07-01,GOLDENTOBC,32.0,43.0,31.5,35.45000076293945,4502,40.614717378297655
103,103,103,2018-08-01,GOLDENTOBC,35.45000076293945,38.84999847412109,30.549999237060547,33.599998474121094,12904,39.764357926377514
104,104,104,2018-09-01,GOLDENTOBC,33.599998474121094,35.95000076293945,27.64999961853028,30.5,125036,38.31665133195852
105,105,105,2018-10-01,GOLDENTOBC,29.049999237060547,32.20000076293945,24.299999237060547,28.850000381469727,66325,37.53338164346545
106,106,106,2018-11-01,GOLDENTOBC,28.89999961853028,30.950000762939453,22.0,26.049999237060547,13599,36.1817078785607
107,107,107,2018-12-01,GOLDENTOBC,24.75,40.45000076293945,24.0,40.45000076293945,306919,46.793890322082824
108,108,108,2019-01-01,GOLDENTOBC,42.45000076293945,70.69999694824219,38.54999923706055,38.54999923706055,116884,45.71374442328114
109,109,109,2019-02-01,GOLDENTOBC,36.650001525878906,41.54999923706055,28.5,34.0,29822,43.14530755773561
110,110,110,2019-03-01,GOLDENTOBC,32.79999923706055,44.95000076293945,32.349998474121094,44.95000076293945,33759,50.37195365543429
111,111,111,2019-04-01,GOLDENTOBC,44.95000076293945,48.29999923706055,38.20000076293945,40.04999923706055,26151,47.46454206846362
112,112,112,2019-05-01,GOLDENTOBC,40.04999923706055,40.54999923706055,34.29999923706055,35.79999923706055,19410,45.03648119489691
113,113,113,2019-06-01,GOLDENTOBC,35.79999923706055,38.54999923706055,29.799999237060547,32.599998474121094,775219,43.24278150941382
114,114,114,2019-07-01,GOLDENTOBC,32.70000076293945,34.5,24.14999961853028,24.799999237060547,45426,39.14976409481983
115,115,115,2019-08-01,GOLDENTOBC,22.89999961853028,32.5,21.299999237060547,28.39999961853028,43187,41.883894018980364
116,116,116,2019-09-01,GOLDENTOBC,28.39999961853028,33.45000076293945,27.600000381469727,28.39999961853028,40680,41.883894018980364
117,117,117,2019-10-01,GOLDENTOBC,28.350000381469727,30.89999961853028,25.100000381469727,27.39999961853028,57604,41.286268227889714
118,118,118,2019-11-01,GOLDENTOBC,28.89999961853028,40.95000076293945,27.100000381469727,31.5,62088,44.7660873392934
119,119,119,2019-12-01,GOLDENTOBC,30.89999961853028,32.95000076293945,26.600000381469727,28.14999961853028,43160,42.54720796448032
120,120,120,2020-01-01,GOLDENTOBC,27.850000381469727,29.700000762939453,25.64999961853028,27.450000762939453,45382,42.07788092854934
121,121,121,2020-02-01,GOLDENTOBC,27.450000762939453,29.0,22.89999961853028,23.350000381469727,40594,39.3406155280384
122,122,122,2020-03-01,GOLDENTOBC,23.350000381469727,24.5,18.600000381469727,19.700000762939453,39806,37.03108809067387
123,123,123,2020-04-01,GOLDENTOBC,19.0,28.5,19.0,25.25,114321,42.5535178658044
124,124,124,2020-05-01,GOLDENTOBC,25.25,27.64999961853028,21.14999961853028,24.14999961853028,126737,41.77158483046908
125,125,125,2020-06-01,GOLDENTOBC,23.100000381469727,30.0,23.100000381469727,26.799999237060547,230550,44.42118903018486
126,126,126,2020-07-01,GOLDENTOBC,26.100000381469727,27.950000762939453,20.549999237060547,21.700000762939453,201191,40.592897489416764
127,127,127,2020-08-01,GOLDENTOBC,22.299999237060547,25.64999961853028,20.100000381469727,23.5,289993,42.47716292005254
128,128,128,2020-09-01,GOLDENTOBC,23.0,24.64999961853028,19.950000762939453,20.299999237060547,125096,40.045412891255204
129,129,129,2020-10-01,GOLDENTOBC,21.100000381469727,23.850000381469727,20.25,21.14999961853028,94648,41.01143043693412
130,130,130,2020-11-01,GOLDENTOBC,21.799999237060547,28.5,20.350000381469727,27.100000381469727,197970,47.40035808350225
131,131,131,2020-12-01,GOLDENTOBC,27.100000381469727,60.0,26.100000381469727,53.20000076293945,1522344,65.20369496821534
132,132,132,2021-01-01,GOLDENTOBC,54.29999923706055,55.0,43.54999923706055,47.25,515483,60.20121806760561
133,133,133,2021-02-01,GOLDENTOBC,46.20000076293945,52.70000076293945,42.59999847412109,45.59999847412109,364015,58.852777358251004
