,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
80,AKSHAR,Akshar Spintex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
81,AKSHARCHEM,AksharChem India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
82,AKSHOPTFBR,Aksh Optifibre Limited,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
83,AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
84,AKZOINDIA,Akzo Nobel India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
85,ALANKIT,Alankit Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
86,ALBERTDAVD,Albert David Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
87,ALEMBICLTD,Alembic Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
88,ALICON,Alicon Castalloy Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
89,ALIVUS,Alivus Life Sciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
90,ALKALI,Alkali Metals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
91,ALKEM,Alkem Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
92,ALKYLAMINE,Alkyl Amines Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
93,ALLCARGO,Allcargo Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider
94,ALLDIGI,Alldigi Tech Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
95,ALMONDZ,Almondz Global Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
96,ALOKINDS,Alok Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
97,ALPA,Alpa Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
98,ALPHAGEO,Alphageo (India) Limited,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
99,ALPSINDUS,Alps Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
100,AMBER,Amber Enterprises India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
101,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
102,AMBIKCO,Ambika Cotton Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
103,AMBUJACEM,Ambuja Cements Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
104,AMDIND,AMD Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging
105,AMIORG,Ami Organics Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
106,AMJLAND,Amj Land Holdings Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
107,AMNPLST,Amines & Plasticizers Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
108,AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
109,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Financial Services,Capital Markets,Financial Products Distributor
110,ANANTRAJ,Anant Raj Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
111,ANDHRAPAP,ANDHRA PAPER LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
112,ANDHRSUGAR,The Andhra Sugars Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
113,ANGELONE,Angel One Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
114,ANIKINDS,Anik Industries Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
