date,symbol,open,high,low,close,volume
2018-03-01,STYRENIX,681.3236583891347,690.8228735868261,588.2239655025443,623.8551635742188,117287
2018-04-01,STYRENIX,613.6280115748402,680.5957186506236,613.6280115748402,670.2957763671875,60276
2018-05-01,STYRENIX,670.295802381832,670.295802381832,582.3279102160565,595.4666748046875,131805
2018-06-01,STYRENIX,597.4684222355293,611.3350966014431,542.3292486762858,550.9913940429688,61202
2018-07-01,STYRENIX,565.6223757956396,566.3502856916325,492.13986290954074,539.7088012695312,88478
2018-08-01,STYRENIX,540.5822959236805,611.4443057268593,536.5787915409451,595.4666748046875,183659
2018-09-01,STYRENIX,617.6883567067157,617.6883567067157,447.78744783260885,489.39361572265625,80701
2018-10-01,STYRENIX,511.5688338187248,548.0885724410822,461.0340387823211,491.04022216796875,58209
2018-11-01,STYRENIX,496.09004153626745,564.2992317586326,487.6736726004486,505.49444580078125,74340
2018-12-01,STYRENIX,507.799793285139,515.2281718693531,468.38924715395734,506.2629089355469,41003
2019-01-01,STYRENIX,504.3234111667839,519.6192636982059,452.65424591174707,459.8264465332031,55936
2019-02-01,STYRENIX,467.62077522622826,468.2428367878934,352.24331967802965,381.5542297363281,98800
2019-03-01,STYRENIX,381.59083788100116,423.01398919779194,373.9794956402624,382.8349609375,87810
2019-04-01,STYRENIX,379.3220557640076,410.5724065125959,376.90693289480726,398.97247314453125,42823
2019-05-01,STYRENIX,398.9724616507029,409.5844041158126,338.8503007824691,360.1839599609375,89389
2019-06-01,STYRENIX,358.647062289932,373.2110567259785,319.71222375900794,338.26483154296875,62055
2019-07-01,STYRENIX,333.4345707997026,352.6824308179343,277.37423318729003,288.3155212402344,37539
2019-08-01,STYRENIX,287.2123384820124,470.10421915802857,268.5258841825985,445.12762451171875,697840
2019-09-01,STYRENIX,445.1276433003857,482.1695300757052,441.5228020556702,468.4857177734375,130540
2019-10-01,STYRENIX,467.49255659900376,503.3573165272423,452.5212914103599,494.89691162109375,94214
2019-11-01,STYRENIX,493.8668886012053,526.7153453780904,479.1163668257461,509.500244140625,116281
2019-12-01,STYRENIX,501.95949431510144,533.3733546670874,478.2703515134663,528.186767578125,185406
2020-01-01,STYRENIX,526.2003576962746,591.4926076026632,525.3175239282498,586.1588745117188,114923
2020-02-01,STYRENIX,581.7447454669879,588.1452341004865,507.58747295140637,514.6868286132812,120718
2020-03-01,STYRENIX,514.9811307262718,530.4305646480599,340.62323360894834,380.5342712402344,120719
2020-04-01,STYRENIX,380.4975173935342,454.65479543545797,380.05607802910515,426.91937255859375,64272
2020-05-01,STYRENIX,426.9193895688941,451.3809956377711,404.9223632335963,435.3062438964844,56925
2020-06-01,STYRENIX,432.4002315647827,555.4439384626303,429.6046286696351,546.6524658203125,174063
2020-07-01,STYRENIX,559.0120170045504,668.7398036241254,368.76328555180737,392.70989990234375,2830311
2020-08-01,STYRENIX,389.17858829594945,408.2696830350706,356.9554929903778,374.5016174316406,541026
2020-09-01,STYRENIX,382.41025229576974,394.6226885048291,356.07265574786953,366.1515808105469,190729
2020-10-01,STYRENIX,371.48535622219714,411.98493802419523,371.48535622219714,387.8544006347656,251624
2020-11-01,STYRENIX,383.7344890257637,521.602311069206,375.12696083297647,511.6705322265625,812995
2020-12-01,STYRENIX,517.1881893282716,624.524987976436,515.0179027395792,615.108154296875,1394802
2021-01-01,STYRENIX,616.4692526340187,800.4278740914903,603.9993424899941,679.8486938476562,1251339
2021-02-01,STYRENIX,691.5460559255686,819.5188247142445,669.5489878876716,711.6303100585938,1145684
2021-03-01,STYRENIX,711.6303291151897,762.9077438284818,678.3037028060369,684.740966796875,655616
2021-04-01,STYRENIX,689.3390496887122,874.6587118510955,689.3390496887122,815.8404541015625,1251024
2021-05-01,STYRENIX,816.6130390416189,1085.138948276025,808.4469266123215,1006.4572143554688,2505102
2021-06-01,STYRENIX,1013.041432405937,1151.9392333523092,971.1072554653863,1058.8011474609375,1485757
2021-07-01,STYRENIX,1064.0980691878242,1155.0289964227973,1018.9268535322129,1033.8980712890625,720623
2021-08-01,STYRENIX,1056.4469728198283,1085.1387777919547,879.1463318382276,988.2119750976562,1015033
